company_name,company_type,product_name_raw,product_sku_raw,category_raw,price_raw,currency_raw,uom_raw,pack_size_raw,available_from_dt,source_url,scrape_run_id
Ruselprom,unknown,Размер шрифта,,Elektrodvigateli,,RUB,шт,,2025-11-14T16:14:26.798512,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Цвет фона и шрифта,,Elektrodvigateli,,RUB,шт,,2025-11-14T16:14:26.814071,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Изображения,,Elektrodvigateli,,RUB,шт,,2025-11-14T16:14:26.826349,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Озвучивание текста,,Elektrodvigateli,,RUB,шт,,2025-11-14T16:14:26.834388,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,E-mail,,Elektrodvigateli,,RUB,м,,2025-11-14T16:14:26.847100,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,E-mail,,Elektrodvigateli,,RUB,м,,2025-11-14T16:14:26.847100,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Адрес,,Elektrodvigateli,37.0,RUB,г,,2025-11-14T16:14:26.847100,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Режим работы,,Elektrodvigateli,9.0,RUB,шт,,2025-11-14T16:14:26.847100,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,О концерне,,О концерне,,RUB,шт,,2025-11-14T16:14:26.860889,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Отрасли,,Отрасли,,RUB,шт,,2025-11-14T16:14:26.881720,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Продукция,,Продукция,,RUB,шт,,2025-11-14T16:14:26.916409,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Услуги,,Услуги,,RUB,шт,,2025-11-14T16:14:26.944361,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Поддержка,,Поддержка,,RUB,шт,,2025-11-14T16:14:26.958580,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,В наличии,,В наличии,,RUB,шт,,2025-11-14T16:14:26.986151,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Новости,,Новости,,RUB,шт,,2025-11-14T16:14:26.986151,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
Ruselprom,unknown,Контакты,,Контакты,,RUB,шт,,2025-11-14T16:14:26.986151,https://www.ruselprom.ru/products/elektrodvigateli/,249b9a5c-c07c-4495-b29e-e0eaa51b37c3
